surrogate_key,product,uid,is_active,valid_from,valid_until
7230,security_ticker,DYLAUD,True,,
7231,security_ticker,DYL1EUR,True,,
7232,security_ticker,6E2,True,,
7233,security_ticker,EDVL,True,,
7234,security_ticker,EDV,True,,
7235,security_ticker,EDVGBX,True,,
7236,security_ticker,EDV2EUR,True,,
7237,security_ticker,EZ1,True,,
7238,security_ticker,ENZNEUR,True,,
7239,security_ticker,ENZNUSD,True,,
7240,security_ticker,EJTS,True,,
7241,security_ticker,ESYJYUSD,True,,
7242,security_ticker,ESYJYEUR,True,,
7243,security_ticker,ETHEUSD,True,,
7244,security_ticker,ETHEGBP,True,,
7245,security_ticker,ENTG,True,,
7246,security_ticker,4WE0,True,,
7247,security_ticker,WMDEUR,True,,
7248,security_ticker,WMDCAD,True,,
7249,security_ticker,WMDUSD,True,,
7250,security_ticker,J2B,True,,
7251,security_ticker,EXPNL,True,,
7252,security_ticker,EXPN,True,,
7253,security_ticker,EXPNN,True,,
7254,security_ticker,EXPNGBP,True,,
7255,security_ticker,EXPNCHF,True,,
7256,security_ticker,EXPNEUR,True,,
7257,security_ticker,J2BA,True,,
7258,security_ticker,EXPGYUSD,True,,
7259,security_ticker,FACOUSD,True,,
7260,security_ticker,2FU,True,,
7261,security_ticker,FCU,True,,
7262,security_ticker,0UW4,True,,
7263,security_ticker,FCUEUR,True,,
7264,security_ticker,FCUCAD,True,,
7265,security_ticker,FCU1GBP,True,,
7266,security_ticker,FCU1USD,True,,
7267,security_ticker,FCUN,True,,
7268,security_ticker,FMG,True,,
7269,security_ticker,FF,True,,
7270,security_ticker,0P07,True,,
7271,security_ticker,FFEUR,True,,
7272,security_ticker,FFGBP,True,,
7273,security_ticker,FFCAD,True,,
7274,security_ticker,FFUSD,True,,
7275,security_ticker,FFNT,True,,
7276,security_ticker,ARREUR,True,,
7277,security_ticker,FFNTCAD,True,,
7278,security_ticker,ARR2USD,True,,
7279,security_ticker,FONE,True,,
7280,security_ticker,F11,True,,
7281,security_ticker,FONEEUR,True,,
7282,security_ticker,FONEUSD,True,,
7283,security_ticker,FONECAD,True,,
7284,security_ticker,FMBLUSD,True,,
7285,security_ticker,FVJA,True,,
7286,security_ticker,FSUGYGBP,True,,
7287,security_ticker,FSUGYUSD,True,,
7288,security_ticker,FSUGYEUR,True,,
7289,security_ticker,FVJ,True,,
7290,security_ticker,FMGN,True,,
7291,security_ticker,FMGEUR,True,,
7292,security_ticker,FMGAUD,True,,
7293,security_ticker,FMGUSD,True,,
7294,security_ticker,GASX,True,,
7295,security_ticker,56P,True,,
7296,security_ticker,PMIEUR,True,,
7297,security_ticker,PMIGBP,True,,
7298,security_ticker,PMICAD,True,,
7299,security_ticker,PMIUSD,True,,
7300,security_ticker,GBOOYUSD,True,,
7301,security_ticker,GBTCUSD,True,,
7302,security_ticker,GBTCGBX,True,,
7303,security_ticker,GBTCEUR,True,,
7304,security_ticker,0HNVL,True,,
7305,security_ticker,DLCFUND,True,,
7306,security_ticker,GDNS,True,,
7307,security_ticker,0ZF0,True,,
7308,security_ticker,VREOEUR,True,,
7309,security_ticker,VREOCAD,True,,
7310,security_ticker,VREOUSD,True,,
7311,security_ticker,GRZ,True,,
7312,security_ticker,GODA,True,,
7313,security_ticker,GDRZFGBP,True,,
7314,security_ticker,GDRZFUSD,True,,
7315,security_ticker,GDRZFCAD,True,,
7316,security_ticker,GRZCL,True,,
7317,security_ticker,G12,True,,
7318,security_ticker,GLO,True,,
7319,security_ticker,GLO1EUR,True,,
7320,security_ticker,GLO1CAD,True,,
7321,security_ticker,GLO1USD,True,,
7322,security_ticker,GLO1GBP,True,,
7323,security_ticker,GGD,True,,
7324,security_ticker,GGDEUR,True,,
7325,security_ticker,GGDCAD,True,,
7326,security_ticker,GGDUSD,True,,
7327,security_ticker,GGDGBP,True,,
7328,security_ticker,GPH,True,,
7329,security_ticker,2JCA,True,,
7330,security_ticker,GPHEUR,True,,
7331,security_ticker,GPHCAD,True,,
7332,security_ticker,GPH1USD,True,,
7333,security_ticker,GTII,True,,
7334,security_ticker,R9U2,True,,
7335,security_ticker,BYU/HCAD,True,,
7336,security_ticker,BYU/HEUR,True,,
7337,security_ticker,BYU/HUSD,True,,
7338,security_ticker,BYU/HRUB,True,,
7339,security_ticker,GXU,True,,
7340,security_ticker,7GU,True,,
7341,security_ticker,0UYS,True,,
7342,security_ticker,GXUEUR,True,,
7343,security_ticker,GXUCAD,True,,
7344,security_ticker,GXUGBX,True,,
7345,security_ticker,GXUUSD,True,,
7346,security_ticker,H3M,True,,
7347,security_ticker,HOCL,True,,
7348,security_ticker,HOC,True,,
7349,security_ticker,HOCGBP,True,,
7350,security_ticker,HNK2,True,,
7351,security_ticker,HEINYUSD,True,,
7352,security_ticker,HEINYEUR,True,,
7353,security_ticker,4H50,True,,
7354,security_ticker,HKHHYUSD,True,,
7355,security_ticker,IDK,True,,
7356,security_ticker,B5K3,True,,
7357,security_ticker,IDKEUR,True,,
7358,security_ticker,IDKCAD,True,,
7359,security_ticker,IDKUSD,True,,
7360,security_ticker,PF42,True,,
7361,security_ticker,IDXGEUR,True,,
7362,security_ticker,IDXGUSD,True,,
7363,security_ticker,IESFYUSD,True,,
7364,security_ticker,IFXA,True,,
7365,security_ticker,IFNNYEUR,True,,
7366,security_ticker,IFNNYUSD,True,,
7367,security_ticker,IFNNYGBP,True,,
7368,security_ticker,I8A,True,,
7369,security_ticker,IKA,True,,
7370,security_ticker,IKAGBX,True,,
7371,security_ticker,IKAEUR,True,,
7372,security_ticker,IKAUSD,True,,
7373,security_ticker,IKAL,True,,
7374,security_ticker,ITB,True,,
7375,security_ticker,IMBL,True,,
7376,security_ticker,IMB,True,,
7377,security_ticker,IMBN,True,,
7378,security_ticker,IMBGBX,True,,
7379,security_ticker,IMBGBP,True,,
7380,security_ticker,IMBEUR,True,,
7381,security_ticker,IMBCHF,True,,
7382,security_ticker,ITYBFN,True,,
7383,security_ticker,ITBD,True,,
7384,security_ticker,IMT,True,,
7385,security_ticker,ITBA,True,,
7386,security_ticker,IMBBYUSD,True,,
7387,security_ticker,IMBBYEUR,True,,
7388,security_ticker,IPH1,True,,
7389,security_ticker,0S2J,True,,
7390,security_ticker,IMPUYUSD,True,,
