source,product,field,source_value,source_description,uid,uid_description,is_seed,valid_from,valid_until,is_active
OpenFigi,exchange,exchange_code,IH,,XDES,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,DB,,XDFM,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,BD,,XDHA,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,SY,,XDSE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,DE,,XDSX,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,ID,,XDUB,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,GD,,XDUS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,YC,,XECM,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,EK,,XECS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,BQ,,XEQT,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,GY,,XETR,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,JF,,XFKA,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,DF,,FNDK,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,GF,,XFRA,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,TH,,XGAT,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,GN,,XGHA,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,GG,,XGSE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,GL,,XGTG,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,EG,,XGUA,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,GH,,XHAM,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,GI,,XHAN,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,FH,,XHEL,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,NR,,XHFT,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,HK,,XHKG,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,VU,,XHNX,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,IR,,XICE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,TW,,XICX,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,IJ,,XIDX,mic,True,2023-01-01 00:00:00,,True
